Date,Actual,Forecast,Previous
"Dec 22, 2017 (Nov)",733K,654K,624K
"Nov 27, 2017 (Oct)",685K,625K,645K
"Oct 25, 2017 (Sep)",667K,555K,561K
"Sep 26, 2017 (Aug)",560K,588K,580K
"Aug 23, 2017 (Jul)",571K,612K,630K
"Jul 26, 2017 (Jun)",610K,615K,605K
"Jun 23, 2017 (May)",610K,597K,593K
"May 23, 2017 (Apr)",569K,610K,642K
"Apr 25, 2017 (Mar)",621K,583K,587K
"Mar 23, 2017 (Feb)",592K,565K,558K
"Feb 24, 2017 (Jan)",555K,570K,535K
"Jan 26, 2017 (Dec)",536K,588K,598K
"Dec 23, 2016 (Nov)",592K,575K,563K
"Nov 23, 2016 (Oct)",563K,593K,574K
"Oct 26, 2016 (Sep)",593K,600K,575K
"Sep 26, 2016 (Aug)",609K,600K,659K
"Aug 23, 2016 (Jul)",654K,580K,582K
"Jul 26, 2016 (Jun)",592K,560K,572K
"Jun 23, 2016 (May)",551K,560K,586K
"May 24, 2016 (Apr)",619K,523K,531K
"Apr 25, 2016 (Mar)",511K,520K,519K
"Mar 23, 2016 (Feb)",512K,510K,502K
"Feb 24, 2016 (Jan)",494K,520K,544K
"Jan 27, 2016 (Dec)",544K,500K,491K
